Timestamp,Visual_Emotion,Audio_Emotion,Combined_Emotion
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:37,Surprise,Neutral,Mixed
2024-11-03 10:54:37,Surprise,Neutral,Mixed
2024-11-03 10:54:37,Surprise,Neutral,Mixed
2024-11-03 10:54:37,Surprise,Neutral,Mixed
2024-11-03 10:54:37,Surprise,Neutral,Mixed
2024-11-03 10:54:37,Surprise,Neutral,Mixed
2024-11-03 10:54:37,Surprise,Neutral,Mixed
2024-11-03 10:54:37,Surprise,Neutral,Mixed
2024-11-03 10:54:37,Surprise,Neutral,Mixed
2024-11-03 10:54:37,Surprise,Neutral,Mixed
2024-11-03 10:54:38,Surprise,Neutral,Mixed
2024-11-03 10:54:38,Surprise,Neutral,Mixed
2024-11-03 10:54:38,Surprise,Neutral,Mixed
2024-11-03 10:54:38,Surprise,Neutral,Mixed
2024-11-03 10:54:38,Surprise,Neutral,Mixed
2024-11-03 10:54:38,Surprise,Neutral,Mixed
2024-11-03 10:54:38,Surprise,Neutral,Mixed
2024-11-03 10:54:38,Surprise,Neutral,Mixed
2024-11-03 10:54:38,Surprise,Neutral,Mixed
2024-11-03 10:54:38,Surprise,Neutral,Mixed
2024-11-03 10:54:39,Surprise,Neutral,Mixed
2024-11-03 10:54:39,Surprise,Neutral,Mixed
2024-11-03 10:54:39,Surprise,Neutral,Mixed
2024-11-03 10:54:39,Surprise,Neutral,Mixed
2024-11-03 10:54:39,Surprise,Neutral,Mixed
2024-11-03 10:54:39,Surprise,Neutral,Mixed
2024-11-03 10:54:39,Surprise,Neutral,Mixed
2024-11-03 10:54:40,Surprise,Neutral,Mixed
2024-11-03 10:54:40,Surprise,Neutral,Mixed
2024-11-03 10:54:40,Surprise,Neutral,Mixed
2024-11-03 10:54:40,Surprise,Neutral,Mixed
2024-11-03 10:54:40,Surprise,Neutral,Mixed
2024-11-03 10:54:40,Surprise,Neutral,Mixed
2024-11-03 10:54:40,Surprise,Neutral,Mixed
2024-11-03 10:54:40,Surprise,Neutral,Mixed
2024-11-03 10:54:40,Surprise,Neutral,Mixed
2024-11-03 10:54:40,Surprise,Neutral,Mixed
2024-11-03 10:54:41,Surprise,Neutral,Mixed
2024-11-03 10:54:41,Surprise,Neutral,Mixed
2024-11-03 10:54:41,Surprise,Neutral,Mixed
2024-11-03 10:54:41,Surprise,Neutral,Mixed
2024-11-03 10:54:41,Surprise,Neutral,Mixed
2024-11-03 10:54:41,Surprise,Neutral,Mixed
2024-11-03 10:54:41,Surprise,Neutral,Mixed
2024-11-03 10:54:41,Surprise,Neutral,Mixed
2024-11-03 10:54:41,Surprise,Neutral,Mixed
2024-11-03 10:54:42,Surprise,Neutral,Mixed
2024-11-03 10:54:42,Surprise,Neutral,Mixed
2024-11-03 10:54:42,Surprise,Neutral,Mixed
2024-11-03 10:54:42,Surprise,Neutral,Mixed
2024-11-03 10:54:42,Surprise,Neutral,Mixed
2024-11-03 10:54:42,Surprise,Neutral,Mixed
2024-11-03 10:54:42,Surprise,Neutral,Mixed
2024-11-03 10:54:42,Surprise,Neutral,Mixed
2024-11-03 10:54:42,Surprise,Neutral,Mixed
2024-11-03 10:54:42,Surprise,Neutral,Mixed
2024-11-03 10:54:43,Surprise,Neutral,Mixed
2024-11-03 10:54:43,Surprise,Neutral,Mixed
2024-11-03 10:54:43,Surprise,Neutral,Mixed
2024-11-03 10:54:43,Surprise,Neutral,Mixed
2024-11-03 10:54:43,Surprise,Neutral,Mixed
2024-11-03 10:54:43,Surprise,Neutral,Mixed
2024-11-03 10:54:43,Surprise,Neutral,Mixed
2024-11-03 10:54:43,Surprise,Neutral,Mixed
2024-11-03 10:54:43,Surprise,Neutral,Mixed
2024-11-03 10:54:43,Surprise,Neutral,Mixed
2024-11-03 10:54:43,Surprise,Neutral,Mixed
2024-11-03 10:54:43,Surprise,Neutral,Mixed
2024-11-03 10:54:43,Surprise,Neutral,Mixed
2024-11-03 10:54:43,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
2024-11-03 10:55:00,Fear,Fear,Fear
2024-11-03 10:55:03,Neutral,Fear,Mixed
2024-11-03 10:55:03,Fear,Fear,Fear
2024-11-03 10:55:03,Neutral,Fear,Mixed
2024-11-03 10:55:03,Fear,Fear,Fear
2024-11-03 10:55:03,Surprise,Fear,Mixed
2024-11-03 10:55:04,Fear,Fear,Fear
2024-11-03 10:55:04,Surprise,Fear,Mixed
2024-11-03 10:55:05,Fear,Fear,Fear
2024-11-03 10:55:06,Surprise,Fear,Mixed
2024-11-03 10:55:08,Sad,Fear,Mixed
2024-11-03 10:55:08,Surprise,Fear,Mixed
2024-11-03 10:55:12,Sad,Fear,Mixed
2024-11-03 10:55:12,Surprise,Fear,Mixed
2024-11-03 10:55:12,Sad,Fear,Mixed
2024-11-03 10:55:13,Surprise,Fear,Mixed
2024-11-03 10:55:13,Sad,Fear,Mixed
2024-11-03 10:55:14,Surprise,Fear,Mixed
2024-11-03 10:55:15,Fear,Fear,Fear
2024-11-03 10:55:15,Surprise,Fear,Mixed
2024-11-03 10:55:15,Fear,Fear,Fear
2024-11-03 10:55:16,Surprise,Fear,Mixed
2024-11-03 10:55:16,Fear,Fear,Fear
2024-11-03 10:55:16,Surprise,Fear,Mixed
2024-11-03 10:55:16,Fear,Fear,Fear
2024-11-03 10:55:17,Surprise,Fear,Mixed
2024-11-03 10:55:17,Fear,Fear,Fear
2024-11-03 10:55:17,Surprise,Fear,Mixed
2024-11-03 10:55:17,Fear,Fear,Fear
2024-11-03 10:55:18,Surprise,Fear,Mixed
2024-11-03 10:55:19,Neutral,Fear,Mixed
2024-11-03 10:55:19,Surprise,Fear,Mixed
2024-11-03 10:55:19,Neutral,Fear,Mixed
2024-11-03 10:55:20,Surprise,Fear,Mixed
2024-11-03 10:55:20,Neutral,Fear,Mixed
2024-11-03 10:55:21,Fear,Fear,Fear
2024-11-03 10:55:21,Surprise,Fear,Mixed
2024-11-03 10:55:22,Neutral,Fear,Mixed
2024-11-03 10:55:22,Surprise,Fear,Mixed
2024-11-03 10:55:22,Fear,Fear,Fear
2024-11-03 10:55:22,Surprise,Fear,Mixed
2024-11-03 10:55:23,Neutral,Fear,Mixed
2024-11-03 10:55:23,Surprise,Fear,Mixed
2024-11-03 10:55:24,Neutral,Fear,Mixed
2024-11-03 10:55:24,Surprise,Fear,Mixed
2024-11-03 10:55:24,Fear,Fear,Fear
2024-11-03 10:55:24,Surprise,Fear,Mixed
2024-11-03 10:55:26,Fear,Fear,Fear
2024-11-03 10:55:26,Surprise,Fear,Mixed
2024-11-03 10:55:26,Fear,Fear,Fear
2024-11-03 10:55:27,Surprise,Fear,Mixed
2024-11-03 10:55:27,Fear,Fear,Fear
2024-11-03 10:55:28,Surprise,Fear,Mixed
2024-11-03 10:55:28,Fear,Fear,Fear
2024-11-03 10:55:28,Surprise,Fear,Mixed
2024-11-03 10:55:28,Fear,Fear,Fear
2024-11-03 10:55:29,Surprise,Fear,Mixed
2024-11-03 10:55:29,Fear,Fear,Fear
2024-11-03 10:55:41,Surprise,Fear,Mixed
2024-11-03 10:55:41,Fear,Fear,Fear
2024-11-03 10:55:41,Surprise,Fear,Mixed
2024-11-03 10:55:42,Fear,Fear,Fear
2024-11-03 10:55:45,Sad,Fear,Mixed
2024-11-03 10:55:45,Surprise,Fear,Mixed
2024-11-03 10:55:46,Fear,Fear,Fear
2024-11-03 10:55:46,Surprise,Fear,Mixed
2024-11-03 10:55:47,Fear,Fear,Fear
2024-11-03 10:55:47,Surprise,Fear,Mixed
2024-11-03 10:55:47,Fear,Fear,Fear
2024-11-03 10:55:47,Surprise,Fear,Mixed
2024-11-03 10:55:47,Fear,Fear,Fear
2024-11-03 10:55:47,Neutral,Fear,Mixed
2024-11-03 10:55:51,Surprise,Fear,Mixed
2024-11-03 10:55:51,Neutral,Fear,Mixed
2024-11-03 10:55:59,Fear,Fear,Fear
